year;id;extends;predecessors;name;developers;companies;wiki;paradigm;;;
1970;s3;;;S3;RRE;UK Ministry of Defence;S3_(programming_language);systems;static;ICL 2900 series programming;en.wikipedia.org_(programming_language)
1970;zopl;;;ZOPL;Control Data Corp;CDC;ZOPL;systems;static;CDC 6000 system programming;en.wikipedia.org
1971;cdl;;;CDL;Cornelis H.A. Koster;University of Nijmegen;;;;;
1971;krl;KM, FRL (MIT);;KRL;Daniel G. Bobrow, Terry Winograd;Xerox PARC, Stanford University;KRL_(programming_language);;;;
1971;mdl;;;MDL;MIT;MIT (Project MAC);MDL_(programming_language);lisp-like;dynamic;Zork engine development;en.wikipedia.org_(programming_language)
1971;pl11;;;PL-11;Robert Russell;CERN;PL-11;systems;static;PDP-11 development;en.wikipedia.org
1971;rtl2;;;RTL/2;ICI;Imperial Chemical Industries;RTL/2;real-time;static;Industrial process control;en.wikipedia.org
1972;intercal;;;INTERCAL;Don Woods, James M. Lyon;;;;;;
1972;plm;PL/I, ALGOL, XPL;;PL/M;Gary Kildall;Digital Research;PL/M;;;;
1972;prolog;2-level W-Grammar;;Prolog;Alain Colmerauer;;Prolog;;;;
1972;sasl;ISWIM;;SASL;David Turner;University of St Andrews;SASL_(programming_language);;;;
1972;smalltalk72;Simula 67;;Smalltalk-72;Alan Kay, Adele Goldberg, Dan Ingalls;Xerox PARC;;;;;
1972;sql;ALPHA, Quel (Ingres);;SQL;;IBM;SQL;;;;
1972;plb;;;PL/B;Datapoint Corp;Datapoint Corporation;Programming_Language_for_Business;business (4gl);static;Commercial business systems;https://www.databasedesigns.com
1972;smalltalk;;;Smalltalk;Alan Kay;Xerox PARC;Smalltalk;pure object-oriented;dynamic;GUI and interactive systems;http://www.smalltalk.org
1973;comal;Pascal, BASIC;;COMAL;Børge Christensen, Benedict Løfstedt;;COMAL;;;;
1973;lis;Pascal, Sue;;LIS;Jean Ichbiah;CII Honeywell Bull;LIS_(programming_language);;;;
1973;ml;;;ML;Robin Milner;;ML_(programming_language);;;;
1973;speakeasy3;Speakeasy-2;;Speakeasy-3;Stanley Cohen, Steven Pieper;Argonne National Laboratory;;;;;
1973;easytrieveplus;;;EASYTRIEVE PLUS;;Pansophic Systems, Broadcom (CA);Easytrieve;reporting/4gl;static;Mainframe data reporting;https://www.broadcom.com
1973;pdl;;;PDL;Caine,Farber,Gordon;CFG Inc;Perl_Data_Language;design language;untyped;Algorithm documentation;en.wikipedia.org
1974;basicfour;Business BASIC;;BASIC FOUR;;MAI BASIC Four Inc.;;;;;
1974;clu;ALGOL 60, Lisp, Simula;;CLU;Barbara Liskov;;CLU_(programming_language);;;;
1974;grass;BASIC;;GRASS;Thomas A. DeFanti;;GRASS_(programming_language);;;;
1974;prosemodelinglanguage;SLANG, FORTRAN;;PROSE modeling language;;CDC 6600 Cybernet Services;PROSE_modeling_language;;;;
1974;sed;ed;;sed;Lee E. McMahon;Bell Labs;Sed;;;;
1974;concurrentpascal;;;Concurrent Pascal;Per Brinch Hansen;Caltech;Concurrent_Pascal;concurrent;static;Operating systems;http://brinch-hansen.net
1974;elan;;;ELAN;C.H.A. Koster;TU Berlin;ELAN_(programming_language);educational;static;Programming education;
1974;lil;;;LIL;P. McJones;IBM Research;Little_Implementation_Language;data-driven;dynamic;Relational database research;en.wikipedia.org_(programming_language)
1974;spk;;;SP/k;University of Toronto;University of Toronto;SP/k;educational (pl/i);static;Teaching programming (PL/I dialect);en.wikipedia.org
1975;abc;SETL;;ABC;Leo Geurts, Lambert Meertens;;ABC_(programming_language);;;;
1975;altairbasic;BASIC;;Altair BASIC;Bill Gates, Paul Allen;;;;;;
